recall@010,recall@020,ndcg@010,ndcg@020,accuracy@010,accuracy@020,precision@010,precision@020,f1@010,f1@020,mrr@010,mrr@020,phr@010,phr@020,user_id
0.625,0.75,0.6802779217425297,0.7508345043334987,0.625,0.7499999999999991,0.5,0.2999999999999998,0.5555555555555554,0.4285714285714288,1.0,1.0,1.0,1.0,16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009970089730799714,0.0009970089730799714,0.0,0.0,17
0.1999999999999993,0.25,0.2934556883974402,0.3023228479728086,0.125,0.25,0.20000000000000018,0.20000000000000018,0.20000000000000018,0.22222222222222232,1.0,1.0,1.0,1.0,18
1.0,1.0,1.0,1.0,1.0,1.0,0.7000000000000002,0.34999999999999964,0.8235294117647056,0.5185185185185182,1.0,1.0,1.0,1.0,19
0.3000000000000007,0.23076923076922995,0.21819512777734928,0.1851186403415248,0.23076923076922995,0.23076923076922995,0.3000000000000007,0.15000000000000036,0.3000000000000007,0.18181818181818166,0.1999999999999993,0.1999999999999993,1.0,1.0,20
0.3333333333333339,0.6666666666666661,0.20210734650054718,0.3222230022985997,0.3333333333333339,0.6666666666666661,0.09999999999999964,0.09999999999999964,0.1538461538461533,0.17391304347826075,0.25,0.25,1.0,1.0,21
0.3000000000000007,0.40000000000000036,0.23440650992329992,0.2862180734684756,0.3000000000000007,0.40000000000000036,0.3000000000000007,0.20000000000000018,0.3000000000000007,0.2666666666666666,0.25,0.25,1.0,1.0,22
1.0,1.0,1.0,1.0,1.0,1.0,0.09999999999999964,0.04999999999999982,0.18181818181818166,0.0952380952380949,1.0,1.0,1.0,1.0,23
0.16666666666666607,0.16666666666666607,0.15130120674940706,0.15130120674940706,0.16666666666666607,0.16666666666666607,0.09999999999999964,0.04999999999999982,0.125,0.07692307692307665,0.3333333333333339,0.3333333333333339,1.0,1.0,24
0.2857142857142865,0.2857142857142865,0.2042496063801984,0.2042496063801984,0.2857142857142865,0.2857142857142865,0.1999999999999993,0.09999999999999964,0.235294117647058,0.14814814814814792,0.1999999999999993,0.1999999999999993,1.0,1.0,25
0.40000000000000036,0.34999999999999964,0.3633412872595727,0.33819661691547864,0.16666666666666607,0.2916666666666661,0.40000000000000036,0.34999999999999964,0.40000000000000036,0.34999999999999964,0.3333333333333339,0.3333333333333339,1.0,1.0,26
0.1999999999999993,0.2666666666666675,0.21726071285223014,0.26211001996102823,0.13333333333333286,0.2666666666666675,0.1999999999999993,0.20000000000000018,0.1999999999999993,0.22857142857142865,0.5,0.5,1.0,1.0,27
0.75,1.0,0.8048099750039484,0.9103055592390596,0.75,1.0,0.3000000000000007,0.20000000000000018,0.4285714285714288,0.33333333333333304,0.9999999999999982,0.9999999999999982,1.0,1.0,28
0.5,0.5,0.26406812257259027,0.26406812257259027,0.5,0.5,0.09999999999999964,0.04999999999999982,0.16666666666666607,0.09090909090909172,0.25,0.25,1.0,1.0,29
0.0,0.3333333333333339,0.0,0.10858087310103315,0.0,0.3333333333333339,0.0,0.04999999999999982,0.0,0.08695652173913082,0.05263157894736992,0.05263157894736992,0.0,1.0,30
